Respondent;Respondent_gender;Question;Context_exists;Answer_positiveness;Chosen_argument
13;f;4;1;0;B
13;f;5;0;1;A
13;f;6;1;1;A
13;f;7;0;1;B
13;f;8;1;0;B
14;f;1;0;1;A
14;f;2;0;0;B
14;f;3;1;0;A
14;f;4;1;0;B
14;f;5;0;0;A
14;f;6;1;0;A
14;f;7;0;0;B
14;f;8;1;1;B
15;f;1;0;0;A
15;f;2;0;1;B
15;f;3;1;1;A
15;f;4;1;1;B
15;f;5;0;0;A
15;f;6;1;1;A
15;f;7;0;1;B
15;f;8;1;1;B
16;m;1;0;1;A
16;m;2;0;1;B
16;m;3;1;0;A
16;m;4;1;1;B
16;m;5;0;0;A
16;m;6;1;0;A
16;m;7;0;0;B
16;m;8;1;0;B
17;f;1;0;0;A
17;f;2;0;1;B
17;f;3;1;1;A
17;f;4;1;1;B
17;f;5;0;1;A
17;f;6;1;1;A
17;f;7;0;1;B
17;f;8;1;1;B
18;f;1;0;1;A
18;f;2;0;1;B
18;f;3;1;0;A
18;f;4;1;1;B
18;f;5;0;0;A
18;f;6;1;1;A
18;f;7;0;1;B
18;f;8;1;1;B
19;m;1;0;1;A
19;m;2;0;0;B
19;m;3;1;0;A
19;m;4;1;1;B
19;m;5;0;0;A
19;m;6;1;0;A
19;m;7;0;1;B
19;m;8;1;0;B
20;m;1;0;1;A
20;m;2;0;0;B
20;m;3;1;1;A
20;m;4;1;1;B
20;m;5;0;1;A
20;m;6;1;1;A
20;m;7;0;0;B
20;m;8;1;1;B
21;f;1;0;1;A
21;f;2;0;1;B
21;f;3;1;0;A
21;f;4;1;0;B
21;f;5;0;1;A
21;f;6;1;1;A
21;f;7;0;1;B
21;f;8;1;1;B
22;m;1;0;1;A
22;m;2;0;1;B
22;m;3;1;0;A
22;m;4;1;0;B
22;m;5;0;1;A
22;m;6;1;1;A
22;m;7;0;0;B
22;m;8;1;0;B
23;m;1;0;0;A
23;m;2;0;0;B
23;m;3;1;1;A
23;m;4;1;1;B
23;m;5;0;1;A
23;m;6;1;1;A
23;m;7;0;1;B
23;m;8;1;1;B
24;m;1;0;0;A
24;m;2;0;1;B
24;m;3;1;1;A
24;m;4;1;1;B
24;m;5;0;0;A
24;m;6;1;0;A
24;m;7;0;1;B
24;m;8;1;1;B
25;f;1;0;1;A
25;f;2;0;1;B
25;f;3;1;0;A
25;f;4;1;1;B
25;f;5;0;0;A
25;f;6;1;1;A
25;f;7;0;1;B
25;f;8;1;1;B
26;m;1;0;0;A
26;m;2;0;1;B
26;m;3;1;0;A
26;m;4;1;1;B
26;m;5;0;0;A
26;m;6;1;0;A
26;m;7;0;1;B
26;m;8;1;1;B
27;m;1;0;0;A
27;m;2;0;1;B
27;m;3;1;1;A
27;m;4;1;1;B
27;m;5;0;0;A
27;m;6;1;1;A
27;m;7;0;0;B
27;m;8;1;0;B
28;m;1;0;1;A
28;m;2;0;0;B
28;m;3;1;0;A
28;m;4;1;0;B
28;m;5;0;1;A
28;m;6;1;1;A
28;m;7;0;0;B
28;m;8;1;1;B
29;m;1;0;1;A
29;m;2;0;0;B
29;m;3;1;1;A
29;m;4;1;1;B
29;m;5;0;1;A
29;m;6;1;1;A
29;m;7;0;1;B
29;m;8;1;1;B
30;f;1;0;1;A
30;f;2;0;1;B
30;f;3;1;1;A
30;f;4;1;1;B
30;f;5;0;1;A
30;f;6;1;1;A
30;f;7;0;1;B
30;f;8;1;1;B
31;m;1;0;0;A
31;m;2;0;1;B
31;m;3;1;1;A
31;m;4;1;1;B
31;m;5;0;1;A
31;m;6;1;0;A
31;m;7;0;1;B
31;m;8;1;1;B
32;f;1;0;1;A
32;f;2;0;1;B
32;f;3;1;0;A
32;f;4;1;0;B
32;f;5;0;1;A
32;f;6;1;1;A
32;f;7;0;0;B
32;f;8;1;0;B
33;m;1;0;1;A
33;m;2;0;0;B
33;m;3;1;1;A
33;m;4;1;0;B
33;m;5;0;1;A
33;m;6;1;1;A
33;m;7;0;0;B
33;m;8;1;0;B
34;f;1;0;0;A
34;f;2;0;1;B
34;f;3;1;1;A
34;f;4;1;1;B
34;f;5;0;0;A
34;f;6;1;0;A
34;f;7;0;1;B
34;f;8;1;1;B
35;f;1;0;0;A
35;f;2;0;1;B
35;f;3;1;0;A
35;f;4;1;1;B
35;f;5;0;0;A
35;f;6;1;1;A
35;f;7;0;0;B
35;f;8;1;1;B
36;f;1;0;0;A
36;f;2;0;1;B
36;f;3;1;1;A
36;f;4;1;1;B
36;f;5;0;0;A
36;f;6;1;0;A
36;f;7;0;1;B
36;f;8;1;1;B
37;m;1;0;1;A
37;m;2;0;0;B
37;m;3;1;0;A
37;m;4;1;0;B
37;m;5;0;1;A
37;m;6;1;1;A
37;m;7;0;0;B
37;m;8;1;1;B
38;f;1;0;1;A
38;f;2;0;0;B
38;f;3;1;1;A
38;f;4;1;1;B
38;f;5;0;0;A
38;f;6;1;0;A
38;f;7;0;0;B
38;f;8;1;0;B
39;m;1;0;1;A
39;m;2;0;1;B
39;m;3;1;1;A
39;m;4;1;0;B
39;m;5;0;1;A
39;m;6;1;0;A
39;m;7;0;1;B
39;m;8;1;0;B
40;m;1;0;1;A
40;m;2;0;1;B
40;m;3;1;0;A
40;m;4;1;1;B
40;m;5;0;1;A
40;m;6;1;1;A
40;m;7;0;0;B
40;m;8;1;0;B
